,year,counry,metabolite,daily mean,weekday mean,weekend mean
245,2016,CZ,amphetamine,21.54,19.5,23.07
246,2016,CZ,methamphetamine,261.9,237.34,280.32
247,2016,CZ,MDMA,18.51,10.59,24.45
248,2016,CZ,cannabis,,,
249,2016,CZ,cocaine,6.83,6.3,7.24
250,2017,CZ,amphetamine,17.35,18.549999999999997,16.45
251,2017,CZ,methamphetamine,385.83,373.42,395.12
252,2017,CZ,MDMA,39.29,16.34,56.5
253,2017,CZ,cannabis,,,
254,2017,CZ,cocaine,36.71,25.29,45.28
255,2018,CZ,amphetamine,35.83,33.96,37.22
256,2018,CZ,methamphetamine,225.84,214.74,234.16
257,2018,CZ,MDMA,37.57,23.119999999999997,48.42
258,2018,CZ,cannabis,71.83,75.24000000000001,69.27000000000001
259,2018,CZ,cocaine,58.58,40.09,72.43
260,2019,CZ,amphetamine,129.96,124.75999999999999,133.86
261,2019,CZ,methamphetamine,1328.03,1202.67,1422.0500000000002
262,2019,CZ,MDMA,118.92,67.63,157.4
263,2019,CZ,cannabis,280.74,292.19,272.15999999999997
264,2019,CZ,cocaine,566.5600000000001,458.21999999999997,647.8199999999999
265,2020,CZ,amphetamine,147.45999999999998,135.20000000000002,156.66
266,2020,CZ,methamphetamine,1419.33,1479.93,1373.8799999999999
267,2020,CZ,MDMA,63.44,42.59,79.07
268,2020,CZ,cannabis,261.57000000000005,252.84,268.12
269,2020,CZ,cocaine,376.85,335.39,407.93
270,2021,CZ,amphetamine,177.01,167.07,184.5
271,2021,CZ,methamphetamine,2405.1,2537.77,2305.5899999999997
272,2021,CZ,MDMA,79.12,54.5,97.58
273,2021,CZ,cannabis,497.14,518.77,480.95
274,2021,CZ,cocaine,482.09000000000003,402.13,542.05
275,2011,DK,amphetamine,,,
276,2011,DK,methamphetamine,,,
277,2011,DK,MDMA,,,
278,2011,DK,cannabis,,,
279,2011,DK,cocaine,,,
280,2012,DK,amphetamine,,,
281,2012,DK,methamphetamine,,,
282,2012,DK,MDMA,,,
283,2012,DK,cannabis,,,
284,2012,DK,cocaine,,,
285,2013,DK,amphetamine,30.64,28.08,32.57
286,2013,DK,methamphetamine,9.78,9.6,9.92
287,2013,DK,MDMA,19.47,9.08,27.26
288,2013,DK,cannabis,,,
289,2013,DK,cocaine,218.55,174.43,251.64
290,2014,DK,amphetamine,,,
291,2014,DK,methamphetamine,0.0,0.0,0.0
292,2014,DK,MDMA,28.21,0.99,48.61
293,2014,DK,cannabis,,,
294,2014,DK,cocaine,341.8,284.12,385.06
295,2015,DK,amphetamine,14.68,8.13,19.59
296,2015,DK,methamphetamine,11.66,12.06,11.35
297,2015,DK,MDMA,53.08,37.88,64.48
298,2015,DK,cannabis,,,
299,2015,DK,cocaine,337.15,244.05,406.98
300,2016,DK,amphetamine,,,
301,2016,DK,methamphetamine,,,
302,2016,DK,MDMA,,,
303,2016,DK,cannabis,,,
304,2016,DK,cocaine,,,
305,2017,DK,amphetamine,,,
306,2017,DK,methamphetamine,,,
307,2017,DK,MDMA,,,
308,2017,DK,cannabis,,,
309,2017,DK,cocaine,,,
310,2018,DK,amphetamine,59.45,58.04,60.51
311,2018,DK,methamphetamine,16.22,16.02,16.37
312,2018,DK,MDMA,18.25,11.64,23.2
313,2018,DK,cannabis,,,
314,2018,DK,cocaine,465.72,404.04,511.98
315,2019,DK,amphetamine,74.27,59.3,85.5
316,2019,DK,methamphetamine,23.68,18.27,27.73
317,2019,DK,MDMA,36.91,17.61,51.38
318,2019,DK,cannabis,,,
319,2019,DK,cocaine,599.71,359.31,780.0
320,2020,DK,amphetamine,,,
321,2020,DK,methamphetamine,,,
322,2020,DK,MDMA,,,
323,2020,DK,cannabis,,,
324,2020,DK,cocaine,,,
325,2021,DK,amphetamine,90.74,101.04,83.02
326,2021,DK,methamphetamine,47.69,46.71,48.43
327,2021,DK,MDMA,46.03,29.089999999999996,58.730000000000004
328,2021,DK,cannabis,,,
329,2021,DK,cocaine,828.5,708.25,918.69
330,2011,ES,amphetamine,49.25,41.89,55.59
331,2011,ES,methamphetamine,8.43,7.34,9.24
332,2011,ES,MDMA,24.72,13.780000000000001,33.35
333,2011,ES,cannabis,303.40000000000003,301.74,302.88
334,2011,ES,cocaine,1004.47,850.3599999999999,1135.42
335,2012,ES,amphetamine,13.37,12.06,14.36
336,2012,ES,methamphetamine,26.55,25.78,27.13
337,2012,ES,MDMA,32.67,14.8,46.07
338,2012,ES,cannabis,312.82,291.76,328.61
339,2012,ES,cocaine,903.52,730.6,1033.2199999999998
340,2013,ES,amphetamine,37.67,32.8,41.33
341,2013,ES,methamphetamine,27.67,27.1,28.099999999999998
342,2013,ES,MDMA,45.980000000000004,24.28,62.25
343,2013,ES,cannabis,306.27,304.77,307.40999999999997
344,2013,ES,cocaine,1244.2,1022.45,1410.52
345,2014,ES,amphetamine,44.519999999999996,37.21,50.0
346,2014,ES,methamphetamine,23.34,17.94,27.39
347,2014,ES,MDMA,54.62,36.33,68.35
348,2014,ES,cannabis,,,
349,2014,ES,cocaine,1210.71,1091.78,1299.91
350,2015,ES,amphetamine,43.4,42.34,44.19
351,2015,ES,methamphetamine,34.54,36.04,33.410000000000004
352,2015,ES,MDMA,65.74,52.29,75.84
353,2015,ES,cannabis,,,
354,2015,ES,cocaine,1274.74,1105.74,1401.5
355,2016,ES,amphetamine,53.120000000000005,53.8,52.6
356,2016,ES,methamphetamine,24.96,23.78,25.86
357,2016,ES,MDMA,64.11,40.75,81.61999999999999
358,2016,ES,cannabis,,,
359,2016,ES,cocaine,1978.02,1604.29,2258.2999999999997
360,2017,ES,amphetamine,70.85,62.7,76.97
361,2017,ES,methamphetamine,67.68,69.1,66.62
362,2017,ES,MDMA,83.32,55.78,103.97
363,2017,ES,cannabis,,,
364,2017,ES,cocaine,2511.95,2084.68,2832.4
365,2018,ES,amphetamine,49.68000000000001,49.5,49.81
366,2018,ES,methamphetamine,56.830000000000005,56.54,57.04
367,2018,ES,MDMA,88.10000000000001,49.779999999999994,116.85
368,2018,ES,cannabis,443.12,434.17,449.87
369,2018,ES,cocaine,2285.68,1973.0100000000002,2520.2000000000003
370,2019,ES,amphetamine,53.34,61.88000000000001,46.92999999999999
371,2019,ES,methamphetamine,121.59,103.45000000000002,135.17000000000002
372,2019,ES,MDMA,116.77999999999999,75.55000000000001,147.70999999999998
373,2019,ES,cannabis,586.46,666.16,526.6899999999999
374,2019,ES,cocaine,2908.42,2681.31,3078.75
375,2020,ES,amphetamine,0.0,0.0,0.0
376,2020,ES,methamphetamine,0.0,0.0,0.0
377,2020,ES,MDMA,32.980000000000004,25.04,38.93
378,2020,ES,cannabis,161.63,185.32999999999998,143.86
379,2020,ES,cocaine,1048.6799999999998,983.2,1097.79
380,2021,ES,amphetamine,45.74,44.44,46.72
381,2021,ES,methamphetamine,68.91,70.84,67.45
382,2021,ES,MDMA,71.19,,80.66999999999999
383,2021,ES,cannabis,645.0600000000001,510.05,746.3100000000001
384,2021,ES,cocaine,1741.73,1546.0800000000002,1888.45
385,2011,FI,amphetamine,,,
386,2011,FI,methamphetamine,,,
387,2011,FI,MDMA,,,
388,2011,FI,cannabis,,,
389,2011,FI,cocaine,,,
390,2012,FI,amphetamine,87.34,79.9,92.92
